Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
139,COMPLETE,0.6431136262749347,0.7264204501489149,7,0.5440433714209307,6.981684927308701,0.010226663525974919,17,21,0.08193434073101377,779,16
140,COMPLETE,0.6442498288674842,0.7803264008441313,7,0.5316028752918702,7.476965257402657,0.01606638725433125,21,82,0.05301495474360242,980,23
141,COMPLETE,0.6447232564380848,0.7397056612065369,7,0.5238956551800944,6.021204705219187,0.015839988625208554,13,91,0.012069309084638102,853,19
142,COMPLETE,0.6450716621786265,0.7324422348729597,7,0.5179389607047443,6.335383993350855,0.015294697279621138,20,87,0.06095348729683002,839,17
143,COMPLETE,0.6444084049020617,0.7294968390590402,7,0.5156074022362092,6.468914135334882,0.014809254637990559,20,87,0.09401153773477308,839,18
144,COMPLETE,0.6447510593097732,0.7344113044269708,7,0.5015060336468966,6.801664631996014,0.015366499289147711,20,84,0.0634749748726879,819,17
145,COMPLETE,0.6433421506624006,0.7228641284651831,7,0.4830712041078927,6.153545553760396,0.014194973159255995,19,96,0.12785863926209712,947,18
146,COMPLETE,0.6442331249964813,0.7929855075684543,7,0.509965835222,7.07602135658721,0.013679153114723638,15,89,0.10993912948232859,802,20
147,COMPLETE,0.6446414553384071,0.7463008161304039,7,0.4945989333247323,7.222553520342704,0.016988225037479848,19,94,0.17631031964312174,788,16
148,COMPLETE,0.6442384655198238,0.7545124142633088,7,0.5281703414805341,5.81057569869554,0.016480792363578696,21,98,0.4200202643488848,842,15
149,COMPLETE,0.644760908020713,0.7379250806511254,7,0.5056928909060457,6.678240542273525,0.017993543122438293,20,86,0.07866741863130888,813,17
150,COMPLETE,0.6449335694623403,0.7318131019994102,7,0.518563717778708,6.341550222322074,0.01629385743543151,12,90,0.04590468233655978,826,20
151,COMPLETE,0.6445387493941811,0.7315803049344825,7,0.5190803867167259,6.476629253696075,0.016143600285705842,12,91,0.05258910738682329,830,20
152,COMPLETE,0.6444352754148254,0.7285585069931538,7,0.5141823733969445,6.263749376715402,0.015208315799030642,18,89,0.0402638159721113,862,19
153,COMPLETE,0.6436716413052179,0.73558541327795,6,0.5356679587298734,5.515238376702069,0.016546337441462222,12,93,0.14361467115654902,873,18
